13,627
19,1339
25,14712
50,5705
17,22843
4,5120
10,3160
67,3897
16,3406
8,4068
11,26158
12,2828
54,7897
5,2688
18,4561
5,13983
44,8969
47,6541
26,17845
5,2857
5,1417
13,30504
14,9328
50,3875
52,17659
12,15437
4,17150
36,3206
39,6568
42,848
5,4436
2,17817
12,2320
69,6988
31,15220
14,7409
135,5334
20,252
13,17107
11,9413
40,10423
25,7833
37,12185
48,17633
7,16606
2,27207
2,12175
90,1986
5,9087
1,2386
4,3837
4,17867
5,2321
72,2342
5,3662
6,11668
49,3981
45,8309
4,5012
13,409
40,9586
43,7648
27,3378
20,2102
22,12605
11,6262
11,2342
20,4734
19,5763
7,16853
25,8915
9,12067
77,4802
30,12087
10,12313
50,1869
3,11108
35,2878
7,3867
10,9374
10,8300
2,43435
16,3821
17,7139
85,13723
51,7002
8,8134
12,1855
25,42581
11,20267
3,47545
9,6683
2,10231
10,1434
23,2475
2,2120
19,8387
40,16641
31,3505
12,789
2,15481
1,19551
3,6732
24,8705
16,868
2,5547
19,8955
12,8162
24,5134
47,935
18,12723
2,2976
28,13355
8,4664
49,17071
9,18740
54,5698
10,9976
6,31524
7,10517
3,28249
16,4471
13,1950
2,7844
21,1405
18,24915
35,7627
43,39127
5,17914
3,9454
14,2734
50,13872
47,30515
1,11462
34,14189
33,19780
19,123
5,13073
5,43381
20,1926
11,5783
13,1897
4,10810
20,34103
7,15359
25,12783
33,638
20,2095
2,11307
1,4435
14,4663
30,6490
3,7905
39,16252
60,9975
25,5370
5,22090
3,11563
27,10860
27,13936
13,6518
3,9487
118,33606
54,171
10,11089
9,429
1,6734
9,7991
45,33489
22,851
6,5955
7,4591
23,30368
1,8181
37,1964
15,4267
32,16255
16,3531
55,1509
20,2293
9,12245
59,12854
33,6983
2,3494
29,4443
3,4352
3,16685
11,6799
10,5806
33,5946
17,27404
14,2277
2,6640
7,16665
111,1567
4,6515
1,4828
1,11283
46,18363
59,12866
8,3360
65,7516
13,19515
20,1076
25,7515
14,8475
24,11372
14,4588
18,11216
81,3561
30,21793
24,20827
7,16435
20,4112
50,5623
83,10819
1,6027
22,971
7,11308
4,13868
22,9493
7,6417
6,158
72,1536
27,9691
30,13447
5,2951
12,1330
7,2763
59,9283
5,4807
5,1387
123,455
6,16011
15,9040
7,15945
4,3933
23,9943
2,24949
40,1170
1,8669
13,16502
22,1210
17,26165
16,3414
1,1718
33,10026
13,1917
55,15635
22,33550
16,4693
14,13424
8,19335
28,10958
22,2178
40,38658
70,5555
12,17959
6,3165
36,42929
12,10842
3,262
38,8565
1,4170
6,1104
45,6238
2,11786
42,15103
4,3164
39,19663
10,273
17,21499
10,46234
9,11009
5,2863
28,2242
16,33185
38,9113
3,11177
36,1086
93,13346
8,13640
22,12122
23,2172
86,4469
43,17739
7,2542
11,4595
7,34207
16,1318
42,34207
6,4350
1,10106
16,2724
5,12904
10,5026
15,23730
24,1734
26,21947
66,4716
12,11382
1,35119
7,16946
6,2066
6,6900
16,9940
7,7071
4,1050
9,6529
43,18686
16,6385
9,11898
7,2793
4,25085
1,10537
14,4682
20,15067
7,14472
11,5752
4,11669
53,2435
18,2841
21,6601
28,23290
23,14016
1,26325
6,3023
89,4698
20,1209
16,8731
3,8578
14,14064
17,6714
10,5600
4,2803
1,8565
7,8490
7,9770
11,69020
19,6199
31,859
13,1951
47,11834
15,16243
2,2913
2,13162
30,2325
5,5472
4,16275
31,1155
15,5400
2,13976
1,1483
1,356
24,4472
2,18354
2,2251
101,10661
60,5078
3,9425
34,6216
60,143
17,3469
47,4334
11,2959
38,13356
10,1289
36,6899
11,13763
3,12498
6,1336
44,10533
3,9461
70,10583
31,747
4,5336
1,8104
24,263
4,8999
21,2562
19,1524
73,20425
20,1701
21,28715
16,9022
48,13968
12,14429
4,5477
25,36073
52,21655
3,6847
1,1518
19,6703
2,7014
8,10572
10,7642
4,19319
37,4155
33,2411
22,3037
19,8864
93,6736
14,5674
65,4752
